player,teammate,weight
Fey,Hyakinthus,8
Fey,Hyphen-ated,3
Fey,IAMJEFF,21
Fey,ichaelm,3
Fey,impostor,4
Fey,inde,2
Fey,indego,104
Fey,indegoo,5
Fey,IsabeltheCat,11
Fey,Iullo,5
Fey,jack67889,61
Fey,JackFrost,2
Fey,Jake_Stiles,5
Fey,jatloe,5
Fey,jaypeg,6
Fey,JDepp,1
Fey,jeff10,42
Fey,jennywhite16,2
Fey,JerryYang,2
Fey,jfdb,1
Fey,JoBean,2
Fey,joelwool,55
Fey,Jtjg,1
Fey,jumbojerry,1
Fey,just_a_dick,2
Fey,justinjlee99,1
Fey,kalisa,4
Fey,katian,50
Fey,Kaznad,5
Fey,Kernel,36
Fey,kevincaseytdk1,25
Fey,kharthik24,2
Fey,kimbifille,359
Fey,Kingstom,1
Fey,kinkajusrevenge,22
Fey,kiwakandyfloss,1
Fey,knaphill,26
Fey,kodomazer,37
Fey,kooolant,139
Fey,kopen,2
Fey,Kowalski1337,2
Fey,Krepps57,1
Fey,ksfortson,10
Fey,Kyle,146
Fey,LaFayetteX,29
Fey,lalchetian,2
Fey,Lanvin,235
Fey,lauraa,3
Fey,LauraMietz,2
Fey,Le_Codex,1
Fey,Lel0uch,481
Fey,letical,26
Fey,level_0,1
Fey,Libster,15
Fey,lilianalv,1
Fey,Lilliana,9
Fey,lilyxy,1
Fey,Livia,15
Fey,Lmarie83,1
Fey,lolthisnotderk,4
Fey,lotem,39
Fey,louietyj,11
Fey,macadamia,1
Fey,macanek,59
Fey,Mael,1
Fey,magikarp,8
Fey,Maiorskills,2
Fey,MalachiteMoa,15
Fey,MangoPie,89
Fey,MapoTofu,3
Fey,MarcLovesDogs,18
Fey,MarekU,4
Fey,MarkusKahlsen,231
Fey,MasN,14
Fey,mathisje,3
Fey,MathNoob,3
Fey,Matir,1
Fey,Matlamenace,2
Fey,Maverick,2
Fey,maxdinechin,5
Fey,maxnorris13,2
Fey,mayple,3
Fey,MB22,1
Fey,melissalocke,1
Fey,melwen,120
Fey,memories,3
Fey,Meowie,1
Fey,Messu,2
Fey,mestrepoke,6
Fey,methmatics,7
Fey,metta,1
Fey,mgce,20
Fey,micerang,42
Fey,Mishka,2
Fey,MKQ,1
Fey,moeski,5
Fey,mrGenius,1
Fey,mystus,24
Fey,narabio,12
Fey,newduke,112
Fey,newsun,26
Fey,Nils,6
Fey,nitawa,9
Fey,nitraat,1
Fey,Nitrate,20
Fey,Nitrate2,31
Fey,nkkarpov,13
Fey,nobo,2
Fey,NoMercy,9
Fey,notANewPlayer,3
Fey,nukelauncher,1
Fey,NumerateClutter,7
Fey,nwajfromoz,12
Fey,oliana,2
Fey,olivia14,1
Fey,olligobber,2
Fey,Onen,52
Fey,orucsoraihc,49
Fey,Othnia,8
Fey,ozymandias,4
Fey,Pablo-,74
Fey,padi,49
Fey,Padouga,4
Fey,parrotdoxair,5
Fey,peanut,1
Fey,Pepepe,11
Fey,phoskito,1
Fey,pianoblook,67
Fey,Pimak,8
Fey,piper,40
Fey,Piss,1
Fey,plop-plop,1
Fey,Plum,9
Fey,plus,85
Fey,PMP,5
Fey,posij118,3
Fey,possum,35
Fey,postmans,97
Fey,PotatoLatte,2
Fey,qbphoenix,3
Fey,qpenguin,4
Fey,qqqq,38
Fey,QuantumCrusher,1
Fey,QueenVic,1
Fey,rachyrules,23
Fey,rahsosprout,40
Fey,rake,2
Fey,RaKXeR,14
Fey,ramya09,3
Fey,raramra,4
Fey,rararararara,3
Fey,ReaverSe,19
Fey,Remycad,4
Fey,ricardodd,40
Fey,Rice145,1
Fey,riwu,1
Fey,rkass,1
Fey,robense,256
Fey,Romain672,10
Fey,rotem,4
Fey,rs1,10
Fey,Rubix,2
Fey,rz,89
Fey,S0nmi451,1
Fey,sajizzle,6
Fey,samanabi,1
Fey,sankala,3
Fey,SashaIr,1
Fey,savoryoatmeal,1
Fey,scalpaf,1
Fey,scharkbite,13
Fey,schildknaapje,2
Fey,sephiroth,131
Fey,Sfrog,1
Fey,sgfx,1
Fey,Sh,1
Fey,sheamol,1
Fey,sheepmolester,1
Fey,Shemetz,4
Fey,Shos,10
Fey,sin_faith,263
Fey,sin_nofaith,6
Fey,sircomrade,2
Fey,sjdrodge,11
Fey,skyblueexo,8
Fey,smallman,22
Fey,Smandon,2
Fey,Spieler42,12
Fey,Spip_B,2
Fey,squidgetx,4
Fey,squirrel1988,15
Fey,srindla,1
Fey,ss747,7
Fey,ssunfly,2
Fey,Steve Backshall,1
Fey,StKildaFan,25
Fey,Sucubis,150
Fey,superbipbip,13
Fey,SushiGirl,8
Fey,swineherd,46
Fey,Syrah,19
Fey,tacobot5000,7
Fey,Tailz,9
Fey,Takis,4
Fey,tb1004913,2
Fey,Tellohs,1
Fey,theandrewni,5
Fey,TheDaniMan,128
Fey,thevanderer,1
Fey,ThomasW,1
Fey,ThwWaisel,1
Fey,TimeHoodie,258
Fey,timotree,60
Fey,Tiramisu1th,20
Fey,Tomotz,1
Fey,torp,12
Fey,Turkish,1
Fey,tyrcho,2
Fey,tyrtel,1
Fey,uetonm,1
Fey,username5,3
Fey,Valetta6789,19
Fey,VBVBVBVB,8
Fey,Veexliat,5
Fey,veigar,3
Fey,vEnhance,9
Fey,ventinove,2
Fey,VerySloppyTwo,14
Fey,VipersOracle,3
Fey,vjk,5
Fey,voss,27
Fey,wavychips,1
Fey,welk2871,3
Fey,whalion,1
Fey,will.i.am,39
Fey,willwin4sure,1
Fey,witcher,1
Fey,Wittvector,100
Fey,Wolfiee,3
Fey,wolfpack,5
Fey,wortel,8
Fey,wump,59
Fey,XMIL,35
Fey,xor,24
Fey,yaiir,1
Fey,yasztiger,2
Fey,ydarb98,3
Fey,Yeesh,5
Fey,yoloswaggins123,2
Fey,Yuga Suggah,4
Fey,yuto,2
Fey,Zakisan,60
Fey,Zamiel,11
Fey,zeinab001,27
feyplayshanabi,sympagic,12
feyplayshanabi,yukkurina,2
feyt,fishissushi,5
feyt,TomPan,6
feytful,phantom,2
ff,GoodPlAsTAkTime,3
ff,IAMJEFFFAN,6
ff,Pas de job,1
ff,pouetpouet,6
ff,Razvogor,2
ff,xxl,2
ff2468,kevinmaldo,8
ff2468,probando prueba,7
ff300,Fra.mala,2
ff300,frulcino,5
ff300,gggg1001,8
ff300,iraksha,6
ff300,lisilisilisi,3
ff300,otti27,4
fff2,fh_monday,2
fffei,moonhunterjosh,1
ffff,izzydizzy,1
ffff,jberci,2
ffff,katja,2
ffff,khansa,2
ffff,tkw01536,2
ffffff,NitinK,2
ffffff,snowanchor22,2
Fffffffffffffff,mrpoopybutthole,8
ffffssss,Rémi,3
Fffggg,katja,2
Fffggg,tkw01536,2
fffrra,JackFrost,1
fffrra,oceanspray,1
fffwwwjjj,richy917,7
fffwwwjjj,ZBere,24
ffg,lukmaniac,4
ffg,onion,4
ffg,username,1
ffh,fr,3
FFI,Giulist ,3
FFI,saraquarantine,3
ffireyy,theplant,30
fflipper,hody,2
fflipper,TwoSpooky,2
fflood,gcjhabkh,2
fflood,Norlina,4
fflood,Shajeeb4,2
fflood,SpritePepsi,4
FFS,jnnyu,2
FFS,SaroVati,2
Ffss,haradwaith,1
Ffss,marcop29,4
Ffss,Rémi,3
ffx,onsale3.99,1
ffx,rumari,1
ffx,skc88888,1
FGA,gabi,6
FGA,Juancho,6
fgamer,nimarezaeian,5
fgamer,Roses1661,1
fgh,Findingoak,14
fgh,hello12345,11
fgh,kaberstan,14
fgh,Sheeeeeeeeesh,1
fgh,test,2
fghf,hojankanel,1
fghf,lararos,1
fghjfghjf,gulloi,1
fghjfghjf,moomoo,1
fghjfghjf,oniichan,1
fghjfghjf,yinnyboy333,1
fghjkl,sparsh,4
fghty,Luffydee1234,19
fghty,yashali,4
Fgjh,Hunter,1
Fgjh,jgr86,1
fgloblek,Footscrayzy,4
fgloblek,mukas,4
fgloblek,Noble,3
fgloblek,Weem,4
fgs081,furryraccon,1
fgs081,saif95,1
fgs0811,MickMuto,2
fgs0811,shoes,2
fgsfgsfgs,Kait,1
fgsfgsfgs,timbits,1
fh_hanabi,fr,17
fh_monday,fr,187
fh_monday,frggf,6
fh_saturday,fr,5
fh_sunday,fr,1
fh_tuesday,fr,30
fh_tuesday,robense,2
fhdkhfskjdhfsd,phil12345,1
fhdkhfskjdhfsd,sadfghjkl,1
fhdkhfskjdhfsd,thana,2
Fhg,hanabpatty,2
Fhg,jackojack,2
fhgsdihfn,mgazelle,1
fhgsdihfn,Number21,1
fhgsdihfn,tdexter,1
fhgsdihfn,tori.luongo,1
fhhanabi,fr,14
fhhanabi,robense,1
fhjhgjhghjg,meowmeow222,2
fhjhgjhghjg,Neira,2
Fhk,frugalpharmer,6
Fhk,gucccci,5
Fhk,jyu,11
Fhk,Kanda,4
Fhk,Mahnster,4
Fhk,marky,9
Fhk,moqiHenchman,11
Fhk,N080Dyagain,3
Fhk,N080Dyisback,6
Fhk,Yfc,4
Fhk,young man,2
FHSHanab,Lachacolan,1
FHSHanab,LysiX,1
FHSHanab,Mitchum,1
Fhxhf,Sjdhebdh,1
Fhxhf,StreliDee,1
Fhxhf,Szarvagy,1
FiammaAzzurra,mbh95,2
FiammaAzzurra,mellamojenny,2
FiammaAzzurra,micduanalds,3
FiammaAzzurra,quinnmac,1
FiammaAzzurra,richardrichard,4
FiammaAzzurra,siddharth,2
fianco destro,Plaza,1
fianco destro,Vez,1
Fib213,nikolkanikolka,5
Fib213,Vlad3395,5
fiber12,sparkle5,1
Fiddler_of_Teet,goodbyes,2
Fiddler_of_Teet,hlehv,1
Fiddler_of_Teet,ile123ile,1
Fiddler_of_Teet,TheMost,1
FidoCorleone,Gossamerica,1
FidoCorleone,honzas,3
FidoCorleone,kharthik24,3
FidoCorleone,kodomazer,1
FidoCorleone,letical,4
FidoCorleone,littleravenpuff,1
FidoCorleone,MarkusKahlsen,1
FidoCorleone,nicolas14,1
FidoCorleone,NotDani,32
FidoCorleone,phuongtran25,1
FidoCorleone,QueenVic,2
FidoCorleone,robense,1
